Lake Name,Site type,ID #,Date,Time,PW,W,TotalDepth(m),SecchiDepth,Depth(m),Epi/Hypo,WaterTemp(CelS),DO(% sat),DO(mg/l),pH,Con (mS/cm),MC ID,AC ID,Nutrient ID,Layer,AT (°C),Bar P (mbar),Alt (m),Max WS (m/h),Avg WS (m/h),Wind Direction,Chloro 1 Fluorosense,Chloro  2 Fluorosense,Phyco 1  Fluorosense,Phyco 2 Fluorosense,MC (ppb),NH3,Cl,SO4,NO2,NO3,SiO2,SRP,TP,TKN,TN,COND,SS,F,Notes,Quanta #,Weather Meter #,Fluorometer #,Aquafluor #,Van Dorn #,,
Beaver Dam,Open,21221BEA2,8/9/2021,15:40,S,S,18.5,2.5,0.0,,26.9,113.4,9.05,0.354,8.74,,,,,27.7,982.8,853,12.3,8.4,SW,10,10,21,22,,1,2,1,4V,,,,,,,,,,,,,,,,,
Beaver Dam,Open,18190BEA2,7/9/2018,15:00,S,S,18.0,3.0,0.0,,28.83,115.0,8.75,8.840,0.324,,,,,33.8,1021.5,266,7.9,6.5,NW,20,20,10,10,0.075,,,,,,,,,,,,,,AQUATIC WEED CONTROL SPRAYED IN THE MORNING (7/9/18) AND ONE MONTH AGO,,,,,,,
Beaver Dam,Open,18204BEA2,7/23/2018,15:15,R,R,19.0,5.8,0.0,,25.21,88.7,7.27,9.130,0.336,,,,,22.8,1011.6,536,1.4,1.2,E,21,21,17,17,0.075,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,18211BEA2,7/31/2018,15:00,O,O,18.6,4.4,0.0,,25.10,103.3,8.55,8.420,0.337,,,,,20.8,1017.6,371,5.6,5.1,SE,16,16,17,17,0.075,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,18218BEA2,8/6/2018,14:45,S,O,18.8,4.4,0.0,,28.77,120.2,9.30,8.530,0.338,,,,,29.1,1015.4,434,7.7,5.1,SW,9,9,5,5,0.075,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,20153BEA2,6/1/2020,15:00,S,O,19.2,1.6,0.0,,22.4,160.1,13.83,9.140,0.356,,,,,25.3,1024.20,584,5.9,4.8,SE,10,10,106,106,0.075,,,,,,,,,,,,,,Recent fish kills and bloom,1,1,1,,,,
Beaver Dam,Open,20160BEA2,6/8/2020,14:40,S,S,17.4,2.0,0.0,,25.4,150.0,12.27,9.620,0.353,,,,,35.6,1017.30,787,12.0,5.0,SE,13,13,39,39,0.075,,,,,,,,,,,,,,,2,2,1,,,,
Beaver Dam,Open,20167BEA2,6/15/2020,14:17,S,S,18.1,3.0,0.0,,23.7,128.4,10.82,8.870,0.353,,,,,26.4,1044.20,327,3.7,1.5,E,23,23,26,26,0.075,,,,,,,,,,,,,,,1,2,1,,,,
Beaver Dam,Open,20216BEA2,8/3/2020,14:30,S,S,18.4,4.4,0.0,,26.3,101.1,8.15,9.020,0.336,,,,,31.1,1014.90,819,2.2,1.6,SW,15,15,14,14,0.075,,,,,,,,,,,,,,,1,2,1,,,,
Beaver Dam,Open,20223BEA2,8/10/2020,15:10,S,O,18.0,5.0,0.0,,27.7,113.0,8.88,10.150,0.340,,,,,33.5,1014.00,858,8.7,7.2,,4,4,5,5,0.075,,,,,,,,,,,,,,,2,,1,,,,
Beaver Dam,Open,20209BEA2,7/27/2020,14:50,S,S,18.9,3.7,0.0,,29.9,111.4,8.43,8.990,0.336,,,,,30.4,1012.00,903,4.4,2.9,W,11,11,12,12,0.173,,,,,,,,,,,,,,,3,2,1,,,,
Beaver Dam,Open,18162BEA2,6/11/2018,14:18,R,O,19.0,2.2,0.0,,23.36,120.0,11.01,8.900,0.321,,,,,20.8,1012.3,518,5.0,2.0,NE,15,15,125,127,0.174,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,18155BEA2,6/4/2018,14:45,S,S,17.0,2.1,0.0,,24.55,133.6,11.16,,0.349,,,,,23.9,1014.0,471,12.3,9.1,NW,11,11,44,45,0.189,,,,,,,,,,,,,,pH probe broken,,,,,,,
Beaver Dam,Open,18197BEA2,7/16/2018,14:40,O,O,18.9,3.7,0.0,,30.03,119.4,9.12,8.670,0.335,,,,,34.1,1011.8,533,6.7,2.4,W,16,16,6,6,0.205,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,20174BEA2,6/22/2020,14:25,R,S,19.1,3.4,0.0,,26.8,144.9,11.54,9.120,0.336,,,,,30.2,1011.40,908,5.2,3.3,SE,25,25,22,22,0.252,,,,,,,,,,,,,,,1,2,1,,,,
Beaver Dam,Open,18176BEA2,6/25/2018,14:31,S,S,19.0,2.4,0.0,,25.37,106.3,8.70,8.730,0.335,,,,,26.0,1019.5,320,10.7,8.4,NE,19,19,63,65,0.271,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,18169BEA2,6/18/2018,14:16,S,S,19.0,2.6,0.0,,29.33,82.2,6.31,8.970,0.304,,,,,32.6,1014.3,461,7.4,5.5,SE,9,9,29,28,0.293,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,20202BEA2,7/20/2020,15:24,R,S,18.8,2.8,0.0,,27.8,106.8,8.39,8.970,0.331,,,,,28.3,1017.30,772,3.0,2.3,SW,24,24,25,25,0.465,,,,,,,,,,,,,,,1,2,1,,,,
Beaver Dam,Open,20195BEA2,7/13/2020,14:39,R,S,19.0,2.4,0.0,,27.8,94.90,7.45,8.730,0.334,,,,,28.4,1016.80,791,4.9,3.0,NW,10,10,22,22,0.790,,,,,,,,,,,,,,,3,2,1,,,,
Beaver Dam,Open,20181BEA2,6/29/2020,14:30,S,S,19.1,2.6,0.0,,29.1,143.3,11.00,9.100,0.336,,,,,32.9,983.30,827,2.4,1.3,SW,16,16,29,29,0.901,,,,,,,,,,,,,,,3,3,1,,,,
Beaver Dam,Open,20188BEA2,7/6/2020,14:39,S,S,19.8,1.5,0.0,,32.4,143.7,10.41,9.010,0.321,,,,,34.9,969.60,2083,1.2,0.8,E,11,11,27,27,1.167,,,,,,,,,,,,,,,1,2,1,,,,
Beaver Dam,Open,10230BEA2,8/18/2010,10:57,"C/S, O",O,,5.3,0.0,,27.20,91.00,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,10263BEA2,9/20/2010,15:36,"ST, O",O,,6.5,0.0,,21.50,109.10,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,11137BEA2,5/17/2011,17:10,"R, C/S",O,18.3,7.2,0.0,,16.20,81.60,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,11164BEA2,6/13/2011,12:30,C/S,C/S,20,2.3,0.0,,24.20,142.20,11.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,11192BEA2,7/11/2011,10:35,c/s,C/S,25,2.6,0.0,,28.90,119.50,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,11227BEA2,8/15/2011,12:20,S,C/S,22,3.5,0.0,,25.70,90.00,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,11257BEA2,9/14/2011,15:10,C/S,"O, R",16.0,4.4,0.0,,21.60,113.20,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,12146BEA2,5/25/2012,11:10,S,C/S,15.0,2.2,0.0,,23.30,156.90,13.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Moved boat, windy, cable at angle. ",,,,,,,
Beaver Dam,Open,12174BEA2,6/22/2012,9:00,C/S,C/S,15.0,4.6,0.0,,25.80,90.50,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,12188BEA2,7/6/2012,12:00,C/S,C/S,14.0,2.6,0.0,,32.20,120.70,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extra MC data was listed with this lake: Label # 129 reading 2.65973.,,,,,,,
Beaver Dam,Open,12202BEA2,7/20/2012,10:40,R,R,12.0,4.9,0.0,,27.70,80.20,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,12212BEA2,7/30/2012,8:20,C/S,C/S,12.0,3.6,0.0,,27.70,97.50,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,12221BEA2,8/8/2012,9:00,R,C/S,12.0,3.1,0.0,,27.30,92.70,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,12243BEA2,8/30/2012,14:25,C/S,C/S,20.0,6.5,0.0,,26.10,106.70,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,12257BEA2,9/13/2012,11:30,C/S,O,17.0,8.0,0.0,,23.30,78.10,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13137BEA2,5/17/2013,10:45,C/S,C/S,19.2,9.9,0.0,,19.30,108.10,9.48,10.230,0.391,,,,,24.7,985.3,235,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13149BEA2,5/29/2013,9:57,O,O,18.7,11.0,0.0,,19.49,89.00,7.89,8.280,0.389,,,,,22.4,983.4,265.4,6.4,4.8,,,,,,,,,,,,,,,,,,,,"Circulator clogged frequently, so meter was moved up and down to ensure flow.",,,,,,,
Beaver Dam,Open,13162BEA2,6/11/2013,13:09,R,C/S,18.0,2.9,0.0,,25.08,165.80,13.33,,0.344,,,,,26.9,982.7,265.4,10.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13177BEA2,6/26/2013,14:15,ST,C/S,17.5,1.4,0.0,,28.19,153.80,11.66,9.390,0.306,,,,,29.3,977.5,265.4,11.5,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13191BEA2,7/10/2013,9:15,O,C/S,16.8,1.8,0.0,,26.52,125.10,9.82,9.070,0.322,,,,,27.0,980.2,265.4,9.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13205BEA2,7/24/2013,10:40,R,C/S,15.0,2.9,0.0,,26.58,76.50,6.01,8.830,0.336,,,,,17.9,984.0,265.4,10.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13219BEA2,8/7/2013,11:20,R,O,18.9,3.0,0.0,,24.00,121.50,9.84,8.870,0.343,,,,,26.4,980.7,265.4,7.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13226BEA2,8/14/2013,12:55,C/S,C/S,18.5,2.4,0.0,,26.98,108.70,8.40,8.810,0.346,,,,,26.4,984.0,265.4,7.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,13249BEA2,9/6/2013,10:00,C/S,C/S,18.2,4.0,0.0,,24.16,81.40,6.66,8.580,0.349,,,,,22.2,991.2,265.4,5.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15146BEA2,5/26/2015,10:10,O,O,19.0,8.0,0.0,,20.03,105.00,9.64,8.580,0.409,,,,,22.1,986.3,272.0,15.4,9.6,,,,,,,,,,,,,,,,,,,,Windy--repositioned boat several times.,,,,,,,
Beaver Dam,Open,15152BEA2,6/1/2015,13:24,R,O,18.0,9.8,0.0,,20.46,86.80,7.85,7.030,0.401,,,,,16.7,991.9,272.0,8.6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15159BEA2,6/8/2015,13:28,R,O,17.2,7.4,0.0,,22.50,97.80,8.54,7.120,0.398,,,,,24.9,978.5,338.0,13.4,8.5,W/SW,,,,,,,,,,,,,,,,,,,DO membrane was replaced and had bubbles in it.,,,,,,,
Beaver Dam,Open,15166BEA2,6/15/2015,13:08,O,O,17.7,5.4,0.0,,26.01,124.00,10.11,7.330,0.386,,,,,30.3,986.4,270.0,1.8,0.8,S,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15176BEA2,6/25/2015,12:40,R,O,18.0,2.4,0.0,,25.00,151.40,12.72,9.290,0.339,,,,,28.2,986.1,272.0,7.2,5.2,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15180BEA2,6/29/2015,13:44,O,O,15.3,2.8,0.0,,22.85,119.60,10.30,9.070,0.356,,,,,20.2,980.1,325.0,6.2,5.0,SE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15190BEA2,7/9/2015,13:20,R,C/S,17.0,2.5,0.0,,22.65,73.50,6.43,8.890,0.358,,,,,20.5,984.5,278.0,7.6,3.2,NW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15201BEA2,7/20/2015,12:25,O,S,18.1,3.2,0.0,,27.06,123.30,9.81,8.860,0.358,,,,,29.9,981.9,310.0,4.6,2.1,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15208BEA2,7/27/2015,12:53,S,S,17.5,2.3,0.0,,28.18,125.30,9.83,9.000,0.354,,,,,30.0,987.9,255.0,9.6,4.3,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15215BEA2,8/3/2015,13:10,R,S,16.5,3.2,0.0,,27.82,89.50,7.07,8.760,0.363,,,,,28.8,981.4,311.0,5.9,5.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15229BEA2,8/17/2015,13:15,S,S,16.8,3.0,0.0,,27.93,110.50,8.64,9.230,0.370,,,,,30.4,989.4,244.0,10.0,6.8,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,15243BEA2,8/31/2015,11:30,O,O,16.2,3.0,0.0,,24.87,110.70,9.42,8.850,0.371,,,,,29.6,990.3,236.0,3.0,2.4,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16144BEA2,5/23/2016,16:20,S,S,18.2,6.2,0.0,,20.76,138.4,12.78,9.030,0.405,,,,,27.5,984.0,246,8.9,5.0,SE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16158BEA2,6/6/2016,15:00,O,ST,18.3,5.1,0.0,,24.10,123.2,10.54,8.930,0.362,,,,,20.4,971.0,356,5.6,4.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16165BEA2,6/13/2016,16:20,S,S,18.0,4.9,0.0,,27.77,127.1,10.31,8.970,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16172BEA2,6/20/2016,15:50,S,O,18.6,3.0,0.0,,27.18,116.9,9.31,8.870,0.350,,,,,29.9,984.5,240,13.6,10.6,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16179BEA2,6/27/2016,15:40,R,S,19.1,1.7,0.0,,28.83,84.7,6.65,8.850,0.354,,,,,33.3,984.1,245,9.1,6.1,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16193BEA2,7/11/2016,15:55,S,S,18.9,2.6,0.0,,28.04,130.0,10.19,9.080,0.361,,,,,33.5,984.5,241,5.5,4.1,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16200BEA2,7/18/2016,11:50,O,O,18.1,3.4,0.0,,25.99,92.9,4.51,8.460,0.349,,,,,24.7,989.8,196,5.3,3.8,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16207BEA2,7/25/2016,15:05,R,S,18.0,3.9,0.0,,30.04,104.7,7.95,7.930,0.346,,,,,36.3,984.5,241,8.0,1.6,NW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16214BEA2,8/1/2016,14:56,O,S,17.0,4.3,0.0,,30.34,104.3,7.81,8.530,0.344,,,,,36.3,986.7,311,0.0,0.0,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16221BEA2,8/8/2016,15:30,S,S,18.5,6.4,0.0,,28.61,97.3,7.51,8.660,0.350,,,,,32.3,985.7,321,6.7,4.4,E,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16232BEA2,8/19/2016,15:30,R,O,18.0,4.8,0.0,,27.71,110.0,8.48,8.900,0.344,,,,,32.3,981.3,358,5.9,5.4,SE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16235BEA2,8/22/2016,14:40,S,S,17.4,5.4,0.0,,26.77,89.0,7.31,8.880,0.353,,,,,24.8,990.4,280,3.6,3.3,S,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16242BEA2,8/29/2016,15:15,R,S,18.6,4.2,0.0,,28.50,97.4,7.62,8.620,0.347,,,,,34.2,991.7,269,3.8,3.0,SE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,16253BEA2,9/9/2016,13:37,R,O,18.4,4.6,0.0,,26.18,101.0,8.14,8.570,0.350,,,,,28.7,982.6,256,4.4,3.7,SE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17156BEA2,6/14/2017,15:00,S,S,16.9,2.6,0.0,,25.68,166.2,13.65,9.130,0.350,,,,,29.9,1007.3,199.3392,6.2,4.7,NE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17163BEA2,6/12/2017,15:30,S,S,18.6,4.5,0.0,,25.27,110.5,9.08,9.430,0.364,,,,,33.0,1014.4,140.5128,5.3,2.7,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17173BEA2,6/22/2017,10:10,S,O,18.7,4.2,0.0,,25.27,111.7,9.15,9.400,0.361,,,,,26.8,1013.0,149.352,8.0,2.4,W,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17177BEA2,6/26/2017,16:10,S,R,17.3,3.2,0.0,,23.72,90.8,7.81,9.340,0.360,,,,,22.4,1016.3,124.3584,2.8,1.7,NE,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17191BEA2,7/10/2017,15:40,S,R,18.1,2.5,0.0,,25.95,160.7,10.93,9.210,0.316,,,,,27.9,979.8,86.5632,3.3,0.9,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17198BEA2,7/17/2017,16:18,S,S,18.6,2.1,0.0,,27.82,82.4,6.44,10.690,0.326,,,,,34.7,1015.4,131.3688,0.7,0.5,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17205BEA2,7/24/2017,15:30,S,O,18.3,2.6,0.0,,27.87,63.8,5.00,10.040,0.317,,,,,30.9,1015.5,131.064,1.0,0.9,NW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17212BEA2,7/31/2017,15:45,S,S,17.9,3.6,0.0,,28.85,117.9,9.16,8.480,0.319,,,,,33.3,1021.0,82.6008,2.9,1.9,SW,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,17219BEA2,8/7/2017,15:40,O,S,15.0,4.0,0.0,,24.88,101.5,8.41,8.550,0.323,,,,,27.9,1015.9,126.1872,2.2,0.8,N,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,Open,19154BEA2,6/3/2019,14:13,S,S,19.2,6.7,0.0,,23.60,131.3,11.08,8.910,0.374,,,,,,28.7,1020.90,670,3.4,1.4,NE,11,11,7,,,,,,,,,,,,,,,,Pro1,,,,,,
Beaver Dam,Open,19161BEA2,6/10/2019,13:40,R,O,19.1,4.0,0.0,,21.90,103.2,9.03,8.840,0.352,,,,,,18.2,1018.70,722,19.3,15.5,NW,15,15,19,,,,,,,,,,,,,,,"YSI was drifting due to wind, so bottom meters weren't reached",1,2,,,,,
Beaver Dam,Open,19168BEA2,6/17/2019,14:07,O,O,19.0,5.6,0.0,,22.00,117.7,10.31,8.860,0.371,,,,,,24.8,1015.80,805,4.0,2.1,SE,12,12,17,,,,,,,,,,,,,,,Blue line on sea wall from spraying weeds earlier in day/nutrient ID's are out of order because we missed one at beginning,,,,,,,
Beaver Dam,Open,19175BEA2,6/24/2019,14:24,R,O,17.5,3.0,0.0,,23.40,128.0,10.88,9.020,0.361,,,,,,23.8,1006.30,1061,8.9,4.8,S,15,15,47,,,,,,,,,,,,,,,,1,,,,,,
Beaver Dam,Open,19189BEA2,7/8/2019,14:13,S,S,19.0,1.6,0.0,,28.8,132.6,10.23,8.980,0.331,,,,,,28.9,1017.8,755,,,NW,10,10,35,,,,,,,,,,,,,,,Kestrel wind speed not working. Sprayed for weeds along shoreline this morning,1,1,,,,,
Beaver Dam,Open,19196BEA2,7/15/2019,14:15,S,S,18.7,2.2,0.0,,30.1,128.1,9.65,8.990,0.337,,,,,,31.4,1019.2,703,4.5,2.8,W,12,12,24,,,,,,,,,,,,,,,Sprayed shoreline for weeds,PRO1,2,,,,,
Beaver Dam,Open,19203BEA2,7/22/2019,13:45,R,O,18.3,2.4,0.0,,28.4,96.0,7.46,8.860,0.340,,,,,,27.1,1016.3,795,11.1,2.0,NW,16,16,33,,,,,,,,,,,,,,,windy=boat drifting a lot. Could not get sample at 15 m because of the drifting,Pro1,2,1P 1C,,,,
Beaver Dam,Open,19212BEA2,7/31/2019,15:48,S,O,17.4,3.3,0.0,,26.50,108.2,8.68,8.580,0.341,,,,,,24.6,1020.60,670,5.2,4.9,N,13,13,14,,,,,,,,,,,,,,,,Pro1,2,1,,,,
Beaver Dam,Open,19217BEA2,8/5/2019,14:10,S,S,19.8,3.1,0.0,,28.8,112.9,8.68,8.550,0.344,,,,,,32.9,1015.8,805,3.3,2.5,SW,6,6,5,,,,,,,,,,,,,,,BLACK STUFF ON SURFACE. SAMPLE TAKEN,PRO1,2,1C1P,,,,
Beaver Dam,Open,20234BEA1,8/21/2020,15:19,S,S,,>3,0.0,,29.8,175.9,13.43,8.960,0.323,659,1083,,,,,,,,,20,20,199,199,,,,,,,,,,,,,,,"MC + Algae taken 50% bloom, 50% end of pier. BG cloud + larger clumps present. Fish also present. Resident (Harold K.) said dead fish present last night.",1,,1,,,,
Beaver Dam,Open,21148BEA2,5/28/2021,14:45,R,C,19.1,5.3,0.0,,20.7,107.20,9.62,8.65,0.416,,,,,11.1,982.8,,14.5,12,,12,12,25,25,,,,,,,,,,,,,,,,1,2,1,,1V,,
Beaver Dam,open,21158BEA2,6/7/2021,14:59,R,S,19.2,3.5,0.0,,24.5,151.5,12.61,8.9,0.395,,,,,24.9,1010.1,124,5.2,3.2,SW,13,13,20,20,,,,,,,,,,,,,,,,1,2,1,,1V,,
Beaver Dam,Open,21165BEA2,6/14/2021,15:09,S,S,17.4,3.0,0.0,,27.0,148.2,11.8,9.060,0.363,,,,,26.8,982.9,835,15.8,9.1,NW,12,12,31,31,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,open,21172BEA2,6/21/2021,14:50,R,S,17.9,3.0,0.0,,25.4,108.8,8.9,8.710,0.365,,,,,22.3,976.8,1023,9.4,4.3,W,15,15,42,42,,,,,,,,,,,,,,,sprayed for weeds on Thursday of last week,1,2,1,,4V,,
Beaver Dam,open,21179BEA2,6/28/2021,14:48,R,S,18.6,3.1,0.0,,26.7,131.5,10.55,8.78,0.366,,,,,31.2,990.2,645,6.5,3.8,SW,15,15,29,29,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,open,21186BEA2,7/5/2021,14:52,S,S,18.4,2.0,0.0,,27.7,131.9,10.39,8.74,0.363,,,,,32.9,986.6,741,8.9,7.3,W,14,14,27,28,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,open,21193BEA2,7/12/2021,15:03,R,S,19.1,3.6,0.0,,25.1,92.7,7.65,0.368,8.45,,,,,26,986.2,753,4,3.8,SSW,15,15,33,33,,,,,,,,,,,,,,,,,,,,,,
Beaver Dam,open,21200BEA2,7/19/2021,14:44,R,S,18.3,3.6,0.0,,27.5,120.8,9.51,0.358,8.66,,,,,29.9,990.9,625,2.4,1.5,W,9,9,14,14,,,,,,,,,,,,,,,,1,2,1,,4V,,
Beaver Dam,Open,21207BEA2,7/26/2021,15:25,R,S,18.7,3.8,0.0,,29.1,123.4,9.48,0.357,8.70,,,,,30.3,986.7,738,6.8,3.0,NW,9,9,7,7,,,,,,,,,,,,,,,,1,1,2,,4V,,
Beaver Dam,Open,21214BEA2,8/2/2021,14:55,S,S,17.4,3.0,0.0,,26.4,113.2,9.08,0.361,8.69,,,,,24.7,990.4,625,5.7,3.5,NE,17,17,24,24,,,,,,,,,,,,,,,,1,1,2,,4V,,
Big Barbee,Open,18164BBA2,6/13/2018,13:16,R,S,12.4,4.0,0.0,,23.41,108.1,9.20,8.470,0.466,,,,,26.8,1013.3,493,5.7,2.5,NW,22,23,12,13,0.075,,,,,,,,,,,,,,,,,,,,,
Big Barbee,Open,18192BBA2,7/11/2018,13:39,S,S,12.9,3.0,0.0,,28.55,116.4,8.91,,0.438,,,,,32.5,1021.1,276,4.7,3.4,N,19,19,7,7,0.075,,,,,,,,,,,,,,,,,,,,,
Big Barbee,Open,18199BBA2,7/18/2018,13:45,O,S,13.0,3.9,0.0,,28.79,101.7,7.86,8.720,0.445,,,,,33.4,1018.8,341,0.0,0.0,N/A,11,11,6,6,0.075,,,,,,,,,,,,,,,,,,,,,
Big Barbee,Open,18213BBA2,8/1/2018,13:30,R,O,12.6,6.0,0.0,,24.49,98.2,8.20,8.090,0.449,,,,,27.2,1015.5,431,4.9,1.9,W,15,15,10,10,0.075,,,,,,,,,,,,,,,,,,,,,
Big Barbee,Open,18220BBA2,8/8/2018,13:30,R,R,12.3,4.8,0.0,,,,,,,,,,,21.1,1013.1,490,3.2,3.0,W,11,11,21,21,0.075,,,,,,,,,,,,,,"QUANTA CORD GOT TANGLED IN BOAT PROPELLER, QUANTA #1 CORD DAMAGED AND SENT FOR REPAIR",,,,,,,
Big Barbee,Open,20154BBA2,6/2/2020,14:43,S,S,13.7,6.2,0.0,,21.5,97.9,8.62,8.300,0.446,,,,,29.9,1014.10,855,11.3,5.5,SW,11,11,5,5,0.075,,,,,,,,,,,,,,,1,2,1,,,,
Big Barbee,Open,20161BBA2,6/9/2020,14:03,S,O,10.3,6.5,0.0,,24.3,119.8,10.00,8.430,0.447,,,,,30.4,1008.20,1012,16.8,10.2,SE,14,14,14,14,0.075,,,,,,,,,,,,,,,3,2,1,,,,
Big Barbee,Open,20168BBA2,6/16/2020,14:05,S,S,13.0,5.5,0.0,,24.2,136.1,11.25,8.580,0.442,,,,,33.2,1028.00,474,2.1,1.1,SE,11,11,11,11,0.075,,,,,,,,,,,,,,,1,2,1,,,,
Big Barbee,Open,20175BBA2,6/23/2020,13:51,R,S,12.7,3.4,0.0,,24.9,87.0,7.19,8.280,0.436,,,,,21.4,1009.40,984,7.6,3.7,NW,15,15,45,45,0.075,,,,,,,,,,,,,,,3,2,1,,,,
Big Barbee,Open,20182BBA2,6/30/2020,14:09,R,S,13.2,3.7,0.0,,28.4,147.4,11.44,8.800,0.431,,,,,31.4,1016.00,803,6.4,4.0,E,20,20,19,19,0.075,,,,,,,,,,,,,,,3,2,1,,,,
Big Barbee,Open,20189BBA2,7/7/2020,14:23,S,S,12.7,3.3,0.0,,31.4,143.7,10.68,8.760,0.432,,,,,37.2,1017.30,761,0.0,0.0,-,24,24,19,19,0.075,,,,,,,,,,,,,,rumble on Barbee on last Saturday. Stirred up all lakes in the chain ,1,2,1,,,,
